title	Type	Label	Cost Normal	Cost Hyper	Cost Another	SP DJ Points	DP DJ Points	SPB Unlocked	SPB Rating	SPB Lamp	SPB Letter	SPB EX Score	SPB Miss Count	SPB Note Count	SPB DJ Points	SPN Unlocked	SPN Rating	SPN Lamp	SPN Letter	SPN EX Score	SPN Miss Count	SPN Note Count	SPN DJ Points	SPH Unlocked	SPH Rating	SPH Lamp	SPH Letter	SPH EX Score	SPH Miss Count	SPH Note Count	SPH DJ Points	SPA Unlocked	SPA Rating	SPA Lamp	SPA Letter	SPA EX Score	SPA Miss Count	SPA Note Count	SPA DJ Points	SPL Unlocked	SPL Rating	SPL Lamp	SPL Letter	SPL EX Score	SPL Miss Count	SPL Note Count	SPL DJ Points	DPN Unlocked	DPN Rating	DPN Lamp	DPN Letter	DPN EX Score	DPN Miss Count	DPN Note Count	DPN DJ Points	DPH Unlocked	DPH Rating	DPH Lamp	DPH Letter	DPH EX Score	DPH Miss Count	DPH Note Count	DPH DJ Points	DPA Unlocked	DPA Rating	DPA Lamp	DPA Letter	DPA EX Score	DPA Miss Count	DPA Note Count	DPA DJ Points	DPL Unlocked	DPL Rating	DPL Lamp	DPL Letter	DPL EX Score	DPL Miss Count	DPL Note Count	DPL DJ Points
5.1.1.	Base	Base	0	0	0	16.47	0									TRUE	2	NP	F	0	-	99		TRUE	6	NP	F	0	-	511		TRUE	10	EX	A	1220	4	786	1.64700000E+001									TRUE	1	NP	F	0	-	99		TRUE	7	NP	F	0	-	511		TRUE	10	NP	F	0	-	796										
GRADIUSIC CYBER	Bits	Bits	4500	7500	8000	14.355	0									FALSE	5	NP	F	0	-	442		FALSE	6	NP	F	0	-	508		TRUE	7	FC	AA	990	2	609	1.43550000E+001									FALSE	4	NP	F	0	-	409		FALSE	9	NP	F	0	-	556		TRUE	9	NP	F	0	-	631										
R3	Bits	Bits	4000	5500	7000	0	0									FALSE	4	NP	F	0	-	330		FALSE	5	NP	F	0	-	368		FALSE	6	NP	F	0	-	454										FALSE	4	NP	F	0	-	384		FALSE	6	NP	F	0	-	392		FALSE	8	NP	F	0	-	475										
THE EARTH LIGHT	Bits	Bits	4500	8500	7500	12.0285	0									FALSE	4	NP	F	0	-	398		FALSE	7	NP	F	0	-	530		TRUE	8	EX	A	891	15	581	1.20285000E+001									FALSE	5	NP	F	0	-	456		FALSE	10	NP	F	0	-	718		TRUE	7	NP	F	0	-	581										
GAMBOL	Base	Base	0	0		0	0									TRUE	2	NP	F	0	-	137		TRUE	2	NP	F	0	-	137																		TRUE	2	NP	F	0	-	137		TRUE	2	NP	F	0	-	137																		
GENOM SCREAMS	Bits	Bits	3000	6000	9000	11.942	0									FALSE	3	NP	F	0	-	211		FALSE	6	NP	F	0	-	417		TRUE	9	EX	AA	853	7	536	1.19420000E+001									FALSE	3	NP	F	0	-	211		FALSE	6	NP	F	0	-	417		TRUE	9	NP	F	0	-	538										
22DUNK	Bits	Bits	4000	4500	5000	0	0									FALSE	3	NP	F	0	-	265		FALSE	4	NP	F	0	-	323		FALSE	5	NP	F	0	-	329										FALSE	5	NP	F	0	-	333		FALSE	5	NP	F	0	-	334		FALSE	5	NP	F	0	-	329										
BRILLIANT 2U	Bits	Bits	3000	4500	2000	0	0									FALSE	3	NP	F	0	-	270		FALSE	4	NP	F	0	-	330		FALSE	4	NP	F	0	-	362										FALSE	3	NP	F	0	-	288		FALSE	5	NP	F	0	-	363																		
deep in you	Bits	Bits	3500	4000	6000	0	0									FALSE	4	NP	F	0	-	250		FALSE	4	NP	F	0	-	255		FALSE	5	NP	F	0	-	333										FALSE	3	NP	F	0	-	283		FALSE	4	NP	F	0	-	293		FALSE	7	NP	F	0	-	364										
KEEP ON MOVIN'	Base	Base	0	0		0	0									TRUE	2	NP	F	0	-	98		TRUE	3	NP	F	0	-	122																		TRUE	2	NP	F	0	-	119		TRUE	3	NP	F	0	-	122																		
PARANOIA MAX～DIRTY MIX～	Bits	Bits	4000	6000	8500	13.328	0									FALSE	5	NP	F	0	-	280		FALSE	6	NP	F	0	-	376		TRUE	8	EX	AA	952	3	562	1.33280000E+001									FALSE	3	NP	F	0	-	280		FALSE	6	NP	F	0	-	406		TRUE	9	NP	F	0	-	581										
.59	Base	Base	0	0	0	14.384	0									TRUE	4	NP	F	0	-	360		TRUE	6	NP	F	0	-	514		TRUE	7	FC	AA	992	0	584	1.43840000E+001									TRUE	4	NP	F	0	-	444		TRUE	6	NP	F	0	-	514		TRUE	7	NP	F	0	-	585										
Dancin' Into The Night	Bits	Bits	2000	3000		0	0									FALSE	2	NP	F	0	-	216		FALSE	3	NP	F	0	-	235																		FALSE	2	NP	F	0	-	224		FALSE	3	NP	F	0	-	237																		
I Was The One	Base	Base	0	0	0	0	0									TRUE	3	NP	F	0	-	272		TRUE	3	NP	F	0	-	326		TRUE	4	NP	F	0	-	348										TRUE	2	NP	F	0	-	205		TRUE	2	NP	F	0	-	270																		
Hitch Hiker	Bits	Bits	3500	5000	2500	0	0									FALSE	3	NP	F	0	-	329		FALSE	4	NP	F	0	-	414		FALSE	5	NP	F	0	-	469										FALSE	4	NP	F	0	-	372		FALSE	6	NP	F	0	-	469																		
SP-TRIP MACHINE(for beatmania II)	Bits	Bits	3000	4500	2000	0	0									FALSE	3	NP	F	0	-	254		FALSE	4	NP	F	0	-	313		FALSE	4	NP	F	0	-	324										FALSE	3	NP	F	0	-	254		FALSE	5	NP	F	0	-	311																		
PUT YOUR FAITH IN ME(for beatmania II)	Base	Base	0	0		0	0									TRUE	3	NP	F	0	-	291		TRUE	6	NP	F	0	-	434																		TRUE	4	NP	F	0	-	288		TRUE	7	NP	F	0	-	434																		
CAN'T STOP FALLIN'IN LOVE	Bits	Bits	4000	7500		15.4135	0									FALSE	4	NP	F	0	-	310		TRUE	8	FC	AA	1063	3	632	1.54135000E+001																	FALSE	4	NP	F	0	-	313		TRUE	7	NP	F	0	-	620																		
Don't Stop!	Bits	Bits	4000	4000	2000	0	0									FALSE	4	NP	F	0	-	389		FALSE	4	NP	F	0	-	428		FALSE	4	NP	F	0	-	453										FALSE	4	NP	F	0	-	391		FALSE	4	NP	F	0	-	450																		
era (nostalmix)	Base	Base	0	0	0	13.988	0									TRUE	5	NP	F	0	-	437		TRUE	8	EX	AA	932	2	555		TRUE	9	HC	A	1076	27	786	1.39880000E+001									TRUE	5	NP	F	0	-	437		TRUE	12	NP	F	0	-	952		TRUE	12	NP	F	0	-	1226										
Holic	Bits	Bits	6000	8500	11500	17.55	0									FALSE	5	NP	F	0	-	395		FALSE	7	NP	F	0	-	624		TRUE	11	EX	A	1300	8	880	1.75500000E+001									FALSE	7	NP	F	0	-	680		FALSE	10	NP	F	0	-	875		TRUE	12	NP	F	0	-	1136										
LEADING CYBER	Bits	Bits	4000	6000	6500	15.4425	0									FALSE	4	NP	F	0	-	434		FALSE	6	NP	F	0	-	611		TRUE	7	FC	AA	1065	0	645	1.54425000E+001									FALSE	4	NP	F	0	-	478		FALSE	6	NP	F	0	-	611		TRUE	6	NP	F	0	-	645										
R5	Base	Base	0	0	0	16.887	0									TRUE	5	NP	F	0	-	387		TRUE	8	EX	AA	984	7	588		TRUE	11	HC	A	1299	22	889	1.68870000E+001									TRUE	5	NP	F	0	-	430		TRUE	8	NP	F	0	-	599		TRUE	11	NP	F	0	-	870										
REINCARNATION	Bits	Bits	4000	5000	7000	17.385	0									FALSE	4	NP	F	0	-	424		FALSE	5	NP	F	0	-	525		TRUE	7	FC	AAA	1159	0	643	1.73850000E+001									FALSE	4	NP	F	0	-	398		FALSE	5	NP	F	0	-	525		TRUE	7	NP	F	0	-	643										
Schlagwerk	Bits	Bits	4000	8500	9500	21.547	0									FALSE	4	NP	F	0	-	414		FALSE	6	NP	F	0	-	663		TRUE	8	FC	AA	1486	1	848	2.15470000E+001									FALSE	4	NP	F	0	-	412		FALSE	11	NP	F	0	-	1043		TRUE	11	NP	F	0	-	1090										
Skyscraper	Bits	Bits	4000	6500	3500	14.616	0									FALSE	4	NP	F	0	-	372		FALSE	6	NP	F	0	-	610		TRUE	7	FC	AA	1008	3	629	1.46160000E+001									FALSE	4	NP	F	0	-	413		FALSE	7	NP	F	0	-	628																		
Tangerine Stream	Base	Base	0	0		0	0									TRUE	2	NP	F	0	-	141		TRUE	3	NP	F	0	-	198																		TRUE	2	NP	F	0	-	151		TRUE	3	NP	F	0	-	199																		
THE SAFARI	Bits	Bits	7500	10000		18.1845	0	TRUE	2	NP	F	0	-	183		FALSE	7	NP	F	0	-	618		TRUE	10	EX	A	1347	11	900	1.81845000E+001																	FALSE	8	NP	F	0	-	624		TRUE	10	NP	F	0	-	900																		
never let you down	Bits	Bits	4000	5500	2500	0	0									FALSE	4	NP	F	0	-	408		FALSE	5	NP	F	0	-	575		FALSE	5	NP	F	0	-	581										FALSE	4	NP	F	0	-	465		FALSE	6	NP	F	0	-	577																		
250bpm	Bits	Bits	4500	7500	9500	14.229	0									FALSE	5	NP	F	0	-	353		TRUE	8	FC	AA	827	0	528		TRUE	10	EX	A	1054	10	726	1.42290000E+001									FALSE	4	NP	F	0	-	351		TRUE	7	NP	F	0	-	523		TRUE	9	NP	F	0	-	672										
ABSOLUTE	Bits	Bits	6000	8000	10500	27.146	0									FALSE	6	NP	F	0	-	682		TRUE	8	FC	AA	1565	0	935		TRUE	10	EX	AA	1939	4	1218	2.71460000E+001	TRUE	11	HC	A	2043	40	1412		FALSE	6	NP	F	0	-	728		TRUE	8	NP	F	0	-	934		TRUE	11	NP	F	0	-	1338		TRUE	11	NP	F	0	-	1488		
Broken My Heart	Bits	Bits	4500	7000	9500	20.286	0									FALSE	5	NP	F	0	-	474		FALSE	7	NP	F	0	-	751		TRUE	9	EX	AA	1449	7	914	2.02860000E+001									FALSE	4	NP	F	0	-	405		FALSE	7	NP	F	0	-	742		TRUE	10	NP	F	0	-	914										
CHECKING YOU OUT	Base	Base	0	0	0	12.228	0									TRUE	7	NP	F	0	-	339		TRUE	9	HC	A	693	20	481		TRUE	11	NC	A	1019	44	700	1.22280000E+001									TRUE	7	NP	F	0	-	339		TRUE	11	NP	F	0	-	482		TRUE	11	NP	F	0	-	703										
